,number,name,year,month,day,hour,nature,lat,lon,land,vmax,pressure,rmax,R34,R50,R64
0,1841,NOT_NAMED,1959,5,18,18,TS,8.8,70.69999695,FALSE,13.31472888,1013.445518,112.5048518,,,
1,1841,NOT_NAMED,1959,5,18,21,TS,8.8625,70.65749359,FALSE,14.76807115,1011.756587,102.0792233,,,
2,1841,NOT_NAMED,1959,5,19,0,TS,9,70.59999847,FALSE,14.35856317,1012.014813,111.1923875,,,
3,1841,NOT_NAMED,1959,5,19,3,TS,9.266666,70.51332092,FALSE,13.15757417,1013.4311,107.0636888,,,
4,1841,NOT_NAMED,1959,5,19,6,TS,9.604077,70.39066315,FALSE,13.19993647,1013.644609,95.68442535,,,
5,1841,NOT_NAMED,1959,5,19,9,TS,9.947971,70.24868011,FALSE,12.85155496,1014.331211,87.95735618,,,
6,1841,NOT_NAMED,1959,5,19,12,TS,10.289498,70.08483124,FALSE,13.05722312,1013.851079,83.0914378,,,
7,1841,NOT_NAMED,1959,5,19,15,TS,10.600009,69.89998627,FALSE,13.38342324,1013.777807,89.670726,,,
8,1841,NOT_NAMED,1959,5,19,18,TS,10.912376,69.71341705,FALSE,13.65534192,1013.759787,93.03663052,,,
9,1841,NOT_NAMED,1959,5,19,21,TS,11.25745,69.55741119,FALSE,12.78778577,1014.309295,103.1203443,,,
10,1841,NOT_NAMED,1959,5,20,0,TS,11.598831,69.39777374,FALSE,12.30057813,1015.055557,108.1311109,,,
11,1841,NOT_NAMED,1959,5,20,3,TS,11.909987,69.2099762,FALSE,12.78211386,1014.25074,102.191178,,,
12,1841,NOT_NAMED,1959,5,20,6,TS,12.190499,68.99910736,FALSE,13.39311994,1013.768447,96.22484181,,,
13,1841,NOT_NAMED,1959,5,20,9,TS,12.450809,68.75991058,FALSE,14.08999278,1012.668199,84.70972012,,,
14,1841,NOT_NAMED,1959,5,20,12,TS,12.687367,68.51576233,FALSE,16.1767204,1010.965505,91.26629746,,,
15,1841,NOT_NAMED,1959,5,20,15,TS,12.899964,68.29992676,FALSE,20.75216194,1005.710155,91.08431781,139.1119581,,
16,1841,NOT_NAMED,1959,5,20,18,TS,13.117887,68.09320831,FALSE,21.81582096,1004.52622,82.84490406,149.4446698,,
17,1841,NOT_NAMED,1959,5,20,21,TS,13.358864,67.87136841,FALSE,22.74063925,1003.380229,85.87952185,163.8628274,,
18,1841,NOT_NAMED,1959,5,21,0,TS,13.618869,67.58483887,FALSE,22.81217974,1003.445491,88.50906326,166.1575317,,
19,1841,NOT_NAMED,1959,5,21,3,TS,13.904977,67.19670868,FALSE,21.25280889,1005.94717,87.98720315,143.7189692,,
20,1841,NOT_NAMED,1959,5,21,6,TS,14.184278,66.71437836,FALSE,21.28172916,1005.928062,102.4933935,153.2419237,,
21,1841,NOT_NAMED,1959,5,21,9,TS,14.413497,66.17760468,FALSE,22.68689646,1004.114963,92.1028332,165.9773699,,
22,1841,NOT_NAMED,1959,5,21,12,TS,14.60509,65.61959076,FALSE,25.24540583,1000.256613,92.98353983,199.1901419,,
23,1841,NOT_NAMED,1959,5,21,15,TS,14.776561,65.09494019,FALSE,25.23571381,1000.029549,90.02391285,197.2292227,,
24,1841,NOT_NAMED,1959,5,21,18,TS,14.911656,64.60819244,FALSE,25.20618867,999.3871265,81.46917891,190.2665602,,
25,1841,NOT_NAMED,1959,5,21,21,TS,15.0169115,64.12210083,FALSE,23.52782798,1001.116812,81.37338805,170.7099308,,
26,1841,NOT_NAMED,1959,5,22,0,TS,15.106392,63.61758423,FALSE,28.39637744,994.4097374,79.37089387,217.4756844,105.7325726,
27,1841,NOT_NAMED,1959,5,22,3,TS,15.19978,63.0915947,FALSE,25.25487318,998.3668102,79.4772561,188.2592039,,
28,1841,NOT_NAMED,1959,5,22,6,TS,15.301539,62.47909546,FALSE,31.41433587,989.2587796,75.89746495,236.2255393,126.4084721,
29,1841,NOT_NAMED,1959,5,22,9,TS,15.402881,61.75085831,FALSE,32.07239594,987.8942328,79.64909797,247.0299202,137.0085296,
30,1841,NOT_NAMED,1959,5,22,12,TS,15.502571,60.99886703,FALSE,26.8455672,994.69237,69.75618957,189.0884355,79.99167384,
31,1841,NOT_NAMED,1959,5,22,15,TS,15.604823,60.3183403,FALSE,30.16950462,989.8796186,77.42670534,229.9842496,118.9942943,
32,1841,NOT_NAMED,1959,5,22,18,TS,15.693812,59.69223022,FALSE,36.77673874,979.6008589,64.84193067,252.5092143,146.5303455,85.83861794
33,1841,NOT_NAMED,1959,5,22,21,TS,15.752121,59.08149719,FALSE,33.92271833,983.8860755,82.71789849,264.8794184,155.491775,89.76359726
